tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,1,0.718550,0.823853,0.742700,1.335,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,2,0.401754,0.698028,0.786200,0.683,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,3,0.314049,0.600442,0.815000,0.527,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,4,0.267821,0.572216,0.825500,0.615,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,1,0.770621,0.867781,0.735500,0.785,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,2,0.436290,0.747042,0.771900,0.610,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,3,0.340620,0.638840,0.803500,0.663,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,4,0.283563,0.575795,0.824900,0.869,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,1,0.499609,0.601998,0.817400,1.295,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,2,0.250824,0.527009,0.840100,0.789,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,3,0.201859,0.475234,0.855600,0.717,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,4,0.175949,0.464775,0.866500,0.628,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,1,0.533846,0.635414,0.806000,0.576,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,2,0.260029,0.530054,0.839900,0.800,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,3,0.203335,0.479906,0.854100,0.690,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,4,0.175239,0.453949,0.867700,0.719,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,1,0.379240,0.509025,0.847500,1.582,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,2,0.192364,0.451703,0.869500,0.691,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,3,0.152867,0.423138,0.881500,0.752,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,4,0.124024,0.406537,0.890300,0.666,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,1,0.402129,0.498459,0.851300,0.553,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,2,0.191322,0.445462,0.873100,0.807,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,3,0.146257,0.408155,0.883400,0.605,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,4,0.120223,0.400070,0.894600,0.704,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,1,1,0.683383,0.689913,0.785400,1.783,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,1,2,0.275493,0.533678,0.835000,0.842,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,1,3,0.197365,0.447886,0.862800,0.915,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,1,4,0.163816,0.430403,0.876400,1.023,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,2,1,0.730032,0.746808,0.771400,0.952,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,2,2,0.301202,0.554201,0.828100,1.110,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,2,3,0.211835,0.467723,0.856900,0.934,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,2,4,0.174966,0.420353,0.880500,0.705,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,1,1,0.404992,0.444280,0.865900,2.394,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,1,2,0.151862,0.353391,0.895500,1.105,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,1,3,0.109926,0.308763,0.912200,1.036,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,1,4,0.086750,0.324220,0.914800,0.774,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,2,1,0.434335,0.452012,0.866000,0.922,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,2,2,0.158407,0.351191,0.898000,0.889,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,2,3,0.111921,0.332723,0.908100,1.097,nan,nan
sweep_cnn2w0_lr1e-3,cnn,2,0,50186,2,4,0.088353,0.290750,0.920700,0.807,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,1,1,0.280994,0.323314,0.905300,1.876,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,1,2,0.100191,0.294993,0.913000,0.824,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,1,3,0.067024,0.270145,0.930300,0.740,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,1,4,0.048656,0.261640,0.937300,0.709,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,2,1,0.305313,0.342468,0.903700,1.125,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,2,2,0.108213,0.273331,0.925100,0.843,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,2,3,0.071967,0.273799,0.927000,1.188,nan,nan
sweep_cnn2w0_lr3e-3,cnn,2,0,50186,2,4,0.052998,0.273669,0.934300,1.218,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,1,1,0.661223,0.630019,0.798000,2.546,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,1,2,0.227561,0.458174,0.856100,1.150,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,1,3,0.156083,0.355624,0.889900,1.402,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,1,4,0.122786,0.371032,0.888300,1.407,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,2,1,0.709704,0.683929,0.785500,1.241,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,2,2,0.244023,0.484915,0.852600,0.994,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,2,3,0.162114,0.369031,0.889400,1.247,nan,nan
sweep_cnn3w0_lr3e-4,cnn,3,0,104202,2,4,0.127088,0.328683,0.903600,1.451,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,1,1,0.387552,0.356956,0.888500,2.737,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,1,2,0.110602,0.286242,0.915300,1.252,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,1,3,0.071400,0.223210,0.938500,1.142,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,1,4,0.052143,0.237546,0.933700,1.408,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,2,1,0.429852,0.371207,0.887500,1.177,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,2,2,0.118312,0.295898,0.913700,1.233,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,2,3,0.074078,0.264005,0.926700,0.943,nan,nan
sweep_cnn3w0_lr1e-3,cnn,3,0,104202,2,4,0.054144,0.269753,0.926400,1.302,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,1,1,0.264509,0.299453,0.916200,1.825,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,1,2,0.072386,0.223543,0.937200,1.467,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,1,3,0.044461,0.202532,0.949000,1.301,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,1,4,0.031849,0.254881,0.941700,1.262,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,2,1,0.292757,0.315900,0.912000,1.354,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,2,2,0.074364,0.212321,0.939500,1.297,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,2,3,0.046857,0.220347,0.938700,1.277,nan,nan
sweep_cnn3w0_lr3e-3,cnn,3,0,104202,2,4,0.034013,0.240757,0.943000,1.276,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,1,1,0.623897,0.588216,0.807200,2.171,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,1,2,0.203492,0.391073,0.881500,1.457,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,1,3,0.128394,0.296051,0.908000,1.509,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,1,4,0.093981,0.273357,0.916800,1.456,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,2,1,0.678969,0.653562,0.794300,1.508,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,2,2,0.236325,0.470174,0.849400,1.640,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,2,3,0.148151,0.315720,0.906100,1.709,nan,nan
sweep_cnn4w0_lr3e-4,cnn,4,0,390410,2,4,0.107096,0.261105,0.925800,1.590,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,1,1,0.374871,0.335042,0.894400,2.213,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,1,2,0.089615,0.220425,0.934400,1.154,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,1,3,0.052054,0.182742,0.950600,1.444,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,1,4,0.037723,0.222427,0.941700,1.679,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,2,1,0.417929,0.366987,0.887000,1.609,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,2,2,0.102791,0.235038,0.929800,1.822,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,2,3,0.058888,0.201966,0.943300,1.572,nan,nan
sweep_cnn4w0_lr1e-3,cnn,4,0,390410,2,4,0.039325,0.201941,0.946300,1.605,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,1,1,0.292638,0.228085,0.928700,2.457,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,1,2,0.067914,0.181931,0.946500,1.664,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,1,3,0.040102,0.171383,0.954500,1.576,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,1,4,0.030842,0.212533,0.949600,1.515,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,2,1,0.334365,0.281977,0.914300,1.671,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,2,2,0.072733,0.183835,0.947800,1.571,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,2,3,0.042798,0.168036,0.953600,1.608,nan,nan
sweep_cnn4w0_lr3e-3,cnn,4,0,390410,2,4,0.031640,0.207099,0.946800,1.670,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,1,1,0.756949,0.829108,0.739000,0.776,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,1,2,0.413952,0.703947,0.777200,0.558,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,1,3,0.325839,0.620240,0.807300,0.538,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,1,4,0.271636,0.559566,0.826600,0.538,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,2,1,0.774257,0.846138,0.731400,0.516,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,2,2,0.425626,0.725123,0.773000,0.328,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,2,3,0.333131,0.615441,0.809500,0.476,nan,nan
sweep_mlp1w256_lr3e-4,mlp,1,256,203530,2,4,0.275687,0.561537,0.824800,0.743,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,1,1,0.518947,0.610445,0.809300,0.898,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,1,2,0.253339,0.516526,0.844100,0.649,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,1,3,0.173997,0.429150,0.872500,0.715,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,1,4,0.129397,0.399344,0.885500,0.706,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,1,0.528878,0.596215,0.815200,0.674,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,2,0.250438,0.514660,0.842100,0.723,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,3,0.172117,0.434857,0.870300,0.728,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,4,0.127853,0.396302,0.884400,0.719,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,1,0.377442,0.471794,0.858400,0.911,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,2,0.162767,0.397572,0.883300,0.697,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,3,0.106210,0.396384,0.887400,0.640,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,4,0.075326,0.441111,0.888100,0.648,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,1,0.385443,0.463422,0.859000,0.705,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,2,0.164088,0.404113,0.878100,0.655,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,3,0.107210,0.404942,0.883800,0.662,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,4,0.076101,0.393945,0.893400,0.740,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,1,1,0.694036,0.737342,0.767100,1.087,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,1,2,0.341683,0.622544,0.804900,0.883,nan,nan
